gender,group,parental_level,lunch,test_prep,math_score,reading_score,writing_score
female,B,bachelor's degree,standard,none,72,72,84
female,C,some college,free,completed,69,88,54
male,A,master's degree,free,none,44,56,52
female,D,associate's degree,standard,none,90,90,80
female,D,bachelor's degree,standard,completed,76,82,64
female,A,some college,free,completed,79,84,63
male,C,master's degree,free,none,82,86,61
female,A,associate's degree,standard,none,85,89,60
female,C,bachelor's degree,standard,completed,88,91,58
female,D,some college,free,none,91,93,57
male,B,master's degree,free,none,93,95,56
female,C,associate's degree,standard,completed,96,97,54
female,A,bachelor's degree,standard,completed,99,100,53
female,D,some college,free,none,70,70,70
male,D,master's degree,free,none,73,72,69
female,A,associate's degree,standard,completed,66,65,73
female,C,bachelor's degree,standard,none,59,58,77
female,A,some college,free,none,53,50,81
male,C,master's degree,free,completed,46,43,85
female,D,associate's degree,standard,completed,39,36,90
female,B,bachelor's degree,standard,none,33,28,94
female,C,some college,free,none,26,21,98
male,A,master's degree,free,completed,19,13,90
female,D,associate's degree,standard,none,70,70,70
female,D,bachelor's degree,standard,none,70,70,70
female,A,some college,free,completed,70,70,70
